run,acc,macro_f1,nll,ece
1,0.939,0.9390600282177012,0.22987303924560548,0.07537725267807642
2,0.9186666666666666,0.9183229989939538,0.2760932248433431,0.05868283178408943
3,0.9546666666666667,0.9545343569243346,0.19099492518107097,0.07231485732396445
4,0.893,0.892152718301659,0.3033358529408773,0.05560498346885043
5,0.9343333333333333,0.9343647186449572,0.22777358500162762,0.04410858501990637
6,0.795,0.7864590095005042,0.4282860616048177,0.02712042344609897
7,0.9483333333333334,0.9482817988171126,0.20789529673258464,0.06957043335835138
8,0.9473333333333334,0.9473808536852036,0.20291776402791342,0.07475919195016226
9,0.9306666666666666,0.9308848730189753,0.23574175262451172,0.05704803456862764
10,0.9426666666666667,0.9424851500066093,0.21958584849039714,0.058906604210535674
---,---,---,---,---
mean,0.9203666666666666,0.919392650611101,0.25224973506927484,0.05934931978086631
std,0.04505563227832897,0.047480181329742514,0.06690249951556967,0.014345288586011683
